Day 1-1: 28ms, 516.000KiB
Day 1-2: 802μs, 516.000KiB
Day 2-1: 645μs, 284.000KiB
Day 2-2: 932μs, 284.000KiB
Day 3-1: 826μs, 284.000KiB
Day 3-2: 804μs, 284.000KiB
Day 4-1: 851μs, 284.000KiB
Day 4-2: 1ms, 532.000KiB
Day 5-1: 767μs, 284.000KiB
Day 5-2: 784μs, 284.000KiB
Day 6-1: 689μs, 284.000KiB
Day 6-2: 1ms, 284.000KiB
Day 7-1: 816μs, 532.000KiB
Day 7-2: 945μs, 532.000KiB
Day 8-1: 1ms, 536.000KiB
Day 8-2: 1ms, 284.000KiB
Day 9-1: 1ms, 536.000KiB
Day 9-2: 1ms, 284.000KiB
Day 10-1: 712μs, 516.000KiB
Day 10-2: 594μs, 284.000KiB
Day 11-1: 547μs, 284.000KiB
Day 11-2: 4ms, 284.000KiB
Day 12-1: 956μs, 532.000KiB
Day 12-2: 750μs, 532.000KiB
Day 13-1: 1ms, 284.000KiB
Day 13-2: 3ms, 576.000KiB
Day 14-1: 3ms, 284.000KiB
Day 14-2: 71ms, 1004.000KiB
Day 15-1: 25ms, 284.000KiB
Day 15-2: 1ms, 284.000KiB
Day 16-1: 89ms, 15.371MiB
Day 16-2: 62ms, 4.273MiB
Day 17-1: 33ms, 788.000KiB
Day 17-2: 34ms, 2.020MiB
Day 18-1: 2ms, 532.000KiB
Day 18-2: 5ms, 532.000KiB
Day 19-1: 9ms, 516.000KiB
Day 19-2: 1080ms, 532.000KiB
Day 20-1: 223ms, 532.000KiB
Day 20-2: 463ms, 532.000KiB
Day 21-1: 28ms, 1.020MiB
Day 21-2: 2ms, 1.020MiB
Day 22-1: 2ms, 532.000KiB
Day 22-2: 1ms, 532.000KiB
Day 23-1: 8ms, 1.020MiB
Day 23-2: 459ms, 952.000KiB
Day 24-1: 40ms, 6.145MiB
Day 24-2: 66ms, 13.062MiB
Day 25-1: 38ms, 284.000KiB
