Day 1-1: 1ms, 1.918MiB
Day 1-2: 2ms, 1.934MiB
Day 2-1: 2ms, 1.965MiB
Day 2-2: 2ms, 1.789MiB
Day 3-1: 2ms, 1.785MiB
Day 3-2: 2ms, 1.949MiB
Day 4-1: 1ms, 1.930MiB
Day 4-2: 2ms, 1.996MiB
Day 5-1: 2ms, 1.727MiB
Day 5-2: 2ms, 1.785MiB
Day 6-1: 2ms, 1.832MiB
Day 6-2: 3ms, 1.906MiB
Day 7-1: 2ms, 1.988MiB
Day 7-2: 1ms, 1.914MiB
Day 8-1: 2ms, 1.996MiB
Day 8-2: 2ms, 1.906MiB
Day 9-1: 2ms, 1.891MiB
Day 9-2: 3ms, 1.867MiB
Day 10-1: 1ms, 1.820MiB
Day 10-2: 2ms, 1.836MiB
Day 11-1: 2ms, 1.852MiB
Day 11-2: 8ms, 1.859MiB
Day 12-1: 1ms, 1.867MiB
Day 12-2: 1ms, 2.004MiB
Day 13-1: 2ms, 1.828MiB
Day 13-2: 4ms, 1.891MiB
Day 14-1: 6ms, 2.000MiB
Day 14-2: 74ms, 2.512MiB
Day 15-1: 1ms, 1.852MiB
Day 15-2: 562μs, 1.750MiB
Day 16-1: 85ms, 16.867MiB
Day 16-2: 34ms, 5.641MiB
Day 17-1: 3ms, 2.027MiB
Day 17-2: 33ms, 3.523MiB
Day 18-1: 2ms, 1.828MiB
Day 18-2: 6ms, 2.211MiB
Day 19-1: 9ms, 1.816MiB
Day 19-2: 1053ms, 1.855MiB
Day 20-1: 198ms, 1.945MiB
Day 20-2: 449ms, 2.070MiB
Day 21-1: 2ms, 2.461MiB
Day 21-2: 2ms, 2.426MiB
Day 22-1: 2ms, 1.902MiB
Day 22-2: 1ms, 2.035MiB
Day 23-1: 9ms, 2.164MiB
Day 23-2: 467ms, 2.355MiB
Day 24-1: 25ms, 7.445MiB
Day 24-2: 69ms, 14.637MiB
Day 25-1: 1ms, 1.887MiB
