Day 1-1: 1ms, 1.809MiB
Day 1-2: 866μs, 1.766MiB
Day 2-1: 1ms, 1.809MiB
Day 2-2: 1ms, 1.789MiB
Day 3-1: 1ms, 1.836MiB
Day 3-2: 1ms, 1.852MiB
Day 4-1: 1ms, 1.742MiB
Day 4-2: 2ms, 1.848MiB
Day 5-1: 1ms, 1.840MiB
Day 5-2: 1ms, 1.848MiB
Day 6-1: 1ms, 1.824MiB
Day 6-2: 2ms, 1.973MiB
Day 7-1: 793μs, 1.898MiB
Day 7-2: 638μs, 1.832MiB
Day 8-1: 578μs, 1.895MiB
Day 8-2: 1ms, 1.859MiB
Day 9-1: 1ms, 1.969MiB
Day 9-2: 1ms, 1.965MiB
Day 10-1: 746μs, 1.789MiB
Day 10-2: 608μs, 1.828MiB
Day 11-1: 498μs, 1.848MiB
Day 11-2: 5ms, 1.820MiB
Day 12-1: 718μs, 1.934MiB
Day 12-2: 677μs, 2.004MiB
Day 13-1: 939μs, 1.879MiB
Day 13-2: 3ms, 1.883MiB
Day 14-1: 3ms, 1.824MiB
Day 14-2: 75ms, 2.359MiB
Day 15-1: 672μs, 1.938MiB
Day 15-2: 639ms, 471.527MiB
Day 16-1: 6335ms, 847.273MiB
Day 16-2: 993ms, 197.363MiB
Day 17-1: 2ms, 2.109MiB
Day 17-2: 5441ms, 202.309MiB
Day 18-1: 1ms, 1.887MiB
Day 18-2: 5ms, 2.031MiB
Day 19-1: 24ms, 5.035MiB
Day 19-2: 4553ms, 2.260GiB
Day 20-1: 194ms, 1.910MiB
Day 20-2: 2176ms, 2.070MiB
Day 21-1: 1ms, 2.500MiB
Day 21-2: 1ms, 2.359MiB
Day 22-1: 1ms, 2.012MiB
Day 22-2: 1ms, 1.949MiB
Day 23-1: 8ms, 2.117MiB
Day 23-2: 482ms, 2.262MiB
Day 24-1: 23ms, 7.504MiB
Day 24-2: 72ms, 14.574MiB
Day 25-1: 643μs, 1.781MiB
